,Name,Title
0,"Braund, Mr. Owen Harris",Mr
1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",Mrs
2,"Heikkinen, Miss. Laina",Miss
3,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",Mrs
4,"Allen, Mr. William Henry",Mr
5,"Moran, Mr. James",Mr
6,"McCarthy, Mr. Timothy J",Mr
7,"Palsson, Master. Gosta Leonard",Master
8,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",Mrs
9,"Nasser, Mrs. Nicholas (Adele Achem)",Mrs
10,"Sandstrom, Miss. Marguerite Rut",Miss
11,"Bonnell, Miss. Elizabeth",Miss
12,"Saundercock, Mr. William Henry",Mr
13,"Andersson, Mr. Anders Johan",Mr
14,"Vestrom, Miss. Hulda Amanda Adolfina",Miss
15,"Hewlett, Mrs. (Mary D Kingcome) ",Mrs
16,"Rice, Master. Eugene",Master
17,"Williams, Mr. Charles Eugene",Mr
18,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",Mrs
19,"Masselmani, Mrs. Fatima",Mrs
20,"Fynney, Mr. Joseph J",Mr
21,"Beesley, Mr. Lawrence",Mr
22,"McGowan, Miss. Anna ""Annie""",Miss
23,"Sloper, Mr. William Thompson",Mr
24,"Palsson, Miss. Torborg Danira",Miss
25,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",Mrs
26,"Emir, Mr. Farred Chehab",Mr
27,"Fortune, Mr. Charles Alexander",Mr
28,"O'Dwyer, Miss. Ellen ""Nellie""",Miss
29,"Todoroff, Mr. Lalio",Mr
30,"Uruchurtu, Don. Manuel E",Don
31,"Spencer, Mrs. William Augustus (Marie Eugenie)",Mrs
32,"Glynn, Miss. Mary Agatha",Miss
33,"Wheadon, Mr. Edward H",Mr
34,"Meyer, Mr. Edgar Joseph",Mr
35,"Holverson, Mr. Alexander Oskar",Mr
36,"Mamee, Mr. Hanna",Mr
37,"Cann, Mr. Ernest Charles",Mr
38,"Vander Planke, Miss. Augusta Maria",Miss
39,"Nicola-Yarred, Miss. Jamila",Miss
40,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",Mrs
41,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",Mrs
42,"Kraeff, Mr. Theodor",Mr
43,"Laroche, Miss. Simonne Marie Anne Andree",Miss
44,"Devaney, Miss. Margaret Delia",Miss
45,"Rogers, Mr. William John",Mr
46,"Lennon, Mr. Denis",Mr
47,"O'Driscoll, Miss. Bridget",Miss
48,"Samaan, Mr. Youssef",Mr
49,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",Mrs
50,"Panula, Master. Juha Niilo",Master
51,"Nosworthy, Mr. Richard Cater",Mr
52,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",Mrs
53,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",Mrs
54,"Ostby, Mr. Engelhart Cornelius",Mr
55,"Woolner, Mr. Hugh",Mr
56,"Rugg, Miss. Emily",Miss
57,"Novel, Mr. Mansouer",Mr
58,"West, Miss. Constance Mirium",Miss
59,"Goodwin, Master. William Frederick",Master
60,"Sirayanian, Mr. Orsen",Mr
61,"Icard, Miss. Amelie",Miss
62,"Harris, Mr. Henry Birkhardt",Mr
63,"Skoog, Master. Harald",Master
64,"Stewart, Mr. Albert A",Mr
65,"Moubarek, Master. Gerios",Master
66,"Nye, Mrs. (Elizabeth Ramell)",Mrs
67,"Crease, Mr. Ernest James",Mr
68,"Andersson, Miss. Erna Alexandra",Miss
69,"Kink, Mr. Vincenz",Mr
70,"Jenkin, Mr. Stephen Curnow",Mr
71,"Goodwin, Miss. Lillian Amy",Miss
72,"Hood, Mr. Ambrose Jr",Mr
73,"Chronopoulos, Mr. Apostolos",Mr
74,"Bing, Mr. Lee",Mr
75,"Moen, Mr. Sigurd Hansen",Mr
76,"Staneff, Mr. Ivan",Mr
77,"Moutal, Mr. Rahamin Haim",Mr
78,"Caldwell, Master. Alden Gates",Master
79,"Dowdell, Miss. Elizabeth",Miss
80,"Waelens, Mr. Achille",Mr
81,"Sheerlinck, Mr. Jan Baptist",Mr
82,"McDermott, Miss. Brigdet Delia",Miss
83,"Carrau, Mr. Francisco M",Mr
84,"Ilett, Miss. Bertha",Miss
85,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",Mrs
